Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,1806.209961,1811.520020,1806.209961,1808.369995,1808.369995,3129500000
2013-12-10,1807.599976,1808.520020,1801.750000,1802.619995,1802.619995,3117150000
2013-12-11,1802.760010,1802.969971,1780.089966,1782.219971,1782.219971,3472240000
2013-12-12,1781.709961,1782.989990,1772.280029,1775.500000,1775.500000,3306640000
2013-12-13,1777.979980,1780.920044,1772.449951,1775.319946,1775.319946,3061070000
2013-12-16,1777.479980,1792.219971,1777.479980,1786.540039,1786.540039,3209890000
2013-12-17,1786.469971,1786.770020,1777.050049,1781.000000,1781.000000,3270030000
2013-12-18,1781.459961,1811.079956,1767.989990,1810.650024,1810.650024,4327770000
2013-12-19,1809.000000,1810.880005,1801.349976,1809.599976,1809.599976,3497210000
2013-12-20,1810.390015,1823.750000,1810.250000,1818.319946,1818.319946,5097700000
2013-12-23,1822.920044,1829.750000,1822.920044,1827.989990,1827.989990,2851540000
2013-12-24,1828.020020,1833.319946,1828.020020,1833.319946,1833.319946,1307630000
2013-12-26,1834.959961,1842.839966,1834.959961,1842.020020,1842.020020,1982270000
2013-12-27,1842.969971,1844.890015,1839.810059,1841.400024,1841.400024,2052920000
2013-12-30,1841.469971,1842.469971,1838.770020,1841.069946,1841.069946,2293860000
2013-12-31,1842.609985,1849.439941,1842.410034,1848.359985,1848.359985,2312840000
2014-01-02,1845.859985,1845.859985,1827.739990,1831.979980,1831.979980,3080600000
2014-01-03,1833.209961,1838.239990,1829.130005,1831.369995,1831.369995,2774270000
2014-01-06,1832.310059,1837.160034,1823.729980,1826.770020,1826.770020,3294850000
2014-01-07,1828.709961,1840.099976,1828.709961,1837.880005,1837.880005,3511750000
2014-01-08,1837.900024,1840.020020,1831.400024,1837.489990,1837.489990,3652140000
2014-01-09,1839.000000,1843.229980,1830.380005,1838.130005,1838.130005,3581150000
2014-01-10,1840.060059,1843.150024,1832.430054,1842.369995,1842.369995,3335710000
2014-01-13,1841.260010,1843.449951,1815.520020,1819.199951,1819.199951,3591350000
2014-01-14,1821.359985,1839.260010,1821.359985,1838.880005,1838.880005,3353270000
2014-01-15,1840.520020,1850.839966,1840.520020,1848.380005,1848.380005,3777800000
2014-01-16,1847.989990,1847.989990,1840.300049,1845.890015,1845.890015,3491310000
2014-01-17,1844.229980,1846.040039,1835.229980,1838.699951,1838.699951,3626120000
2014-01-21,1841.050049,1849.310059,1832.380005,1843.800049,1843.800049,3782470000
2014-01-22,1844.709961,1846.869995,1840.880005,1844.859985,1844.859985,3374170000
2014-01-23,1842.290039,1842.290039,1820.060059,1828.459961,1828.459961,3972250000
2014-01-24,1826.959961,1826.959961,1790.290039,1790.290039,1790.290039,4618450000
2014-01-27,1791.030029,1795.979980,1772.880005,1781.560059,1781.560059,4045200000
2014-01-28,1783.000000,1793.869995,1779.489990,1792.500000,1792.500000,3437830000
2014-01-29,1790.150024,1790.150024,1770.449951,1774.199951,1774.199951,3964020000
2014-01-30,1777.170044,1798.770020,1777.170044,1794.189941,1794.189941,3547510000
2014-01-31,1790.880005,1793.880005,1772.260010,1782.589966,1782.589966,4059690000
2014-02-03,1782.680054,1784.829956,1739.660034,1741.890015,1741.890015,4726040000
2014-02-04,1743.819946,1758.729980,1743.819946,1755.199951,1755.199951,4068410000
2014-02-05,1753.380005,1755.790039,1737.920044,1751.640015,1751.640015,3984290000
2014-02-06,1752.989990,1774.060059,1752.989990,1773.430054,1773.430054,3825410000
2014-02-07,1776.010010,1798.030029,1776.010010,1797.020020,1797.020020,3775990000
2014-02-10,1796.199951,1799.939941,1791.829956,1799.839966,1799.839966,3312160000
2014-02-11,1800.449951,1823.540039,1800.410034,1819.750000,1819.750000,3699380000
2014-02-12,1820.119995,1826.550049,1815.969971,1819.260010,1819.260010,3326380000
2014-02-13,1814.819946,1830.250000,1809.219971,1829.829956,1829.829956,3289510000
2014-02-14,1828.459961,1841.650024,1825.589966,1838.630005,1838.630005,3114750000
2014-02-18,1839.030029,1842.869995,1835.010010,1840.760010,1840.760010,3421110000
2014-02-19,1838.900024,1847.500000,1826.989990,1828.750000,1828.750000,3661570000
2014-02-20,1829.239990,1842.790039,1824.579956,1839.780029,1839.780029,3404980000
2014-02-21,1841.069946,1846.130005,1835.599976,1836.250000,1836.250000,3403880000
2014-02-24,1836.780029,1858.709961,1836.780029,1847.609985,1847.609985,4014530000
2014-02-25,1847.660034,1852.910034,1840.189941,1845.119995,1845.119995,3515560000
2014-02-26,1845.790039,1852.650024,1840.660034,1845.160034,1845.160034,3716730000
2014-02-27,1844.900024,1854.530029,1841.130005,1854.290039,1854.290039,3547460000
2014-02-28,1855.119995,1867.920044,1847.670044,1859.449951,1859.449951,3917450000
2014-03-03,1857.680054,1857.680054,1834.439941,1845.729980,1845.729980,3428220000
2014-03-04,1849.229980,1876.229980,1849.229980,1873.910034,1873.910034,3765770000
2014-03-05,1874.050049,1876.530029,1871.109985,1873.810059,1873.810059,3392990000
2014-03-06,1874.180054,1881.939941,1874.180054,1877.030029,1877.030029,3360450000
2014-03-07,1878.520020,1883.569946,1870.560059,1878.040039,1878.040039,3564740000
2014-03-10,1877.859985,1877.869995,1867.040039,1877.170044,1877.170044,3021350000
2014-03-11,1878.260010,1882.349976,1863.880005,1867.630005,1867.630005,3392400000
2014-03-12,1866.150024,1868.380005,1854.380005,1868.199951,1868.199951,3270860000
2014-03-13,1869.060059,1874.400024,1841.859985,1846.339966,1846.339966,3670990000
2014-03-14,1845.069946,1852.439941,1839.569946,1841.130005,1841.130005,3285460000
2014-03-17,1842.810059,1862.300049,1842.810059,1858.829956,1858.829956,2860490000
2014-03-18,1858.920044,1873.760010,1858.920044,1872.250000,1872.250000,2930190000
2014-03-19,1872.250000,1874.140015,1850.349976,1860.770020,1860.770020,3289210000
2014-03-20,1860.089966,1873.489990,1854.630005,1872.010010,1872.010010,3327540000
2014-03-21,1874.530029,1883.969971,1863.459961,1866.520020,1866.520020,5270710000
2014-03-24,1867.670044,1873.339966,1849.689941,1857.439941,1857.439941,3409000000
2014-03-25,1859.479980,1871.869995,1855.959961,1865.619995,1865.619995,3200560000
2014-03-26,1867.089966,1875.920044,1852.560059,1852.560059,1852.560059,3480850000
2014-03-27,1852.109985,1855.550049,1842.109985,1849.040039,1849.040039,3733430000
2014-03-28,1850.069946,1866.630005,1850.069946,1857.619995,1857.619995,2955520000
2014-03-31,1859.160034,1875.180054,1859.160034,1872.339966,1872.339966,3274300000
2014-04-01,1873.959961,1885.839966,1873.959961,1885.520020,1885.520020,3336190000
2014-04-02,1886.609985,1893.170044,1883.790039,1890.900024,1890.900024,3131660000
